

Data analysis for each instance 
AVG,MED,MAX,MIN
0.948,0.948,0.948,0.948,
0.976,0.976,0.976,0.976,
0.947,0.947,0.947,0.947,
0.963,0.963,0.963,0.963,
0.966,0.966,0.966,0.966,
1,1,1,1,
0.974,0.974,0.974,0.974,
0.992,0.992,0.992,0.992,
0.923,0.923,0.923,0.923,
0.999,0.999,0.999,0.999,
0.959,0.959,0.959,0.959,
0.988,0.988,0.988,0.988,
0.927,0.927,0.927,0.927,
1,1,1,1,
0.988,0.988,0.988,0.988,
0.978,0.978,0.978,0.978,
0.867,0.867,0.867,0.867,
0.959,0.959,0.959,0.959,
0.995,0.995,0.995,0.995,
0.942,0.942,0.942,0.942,
0.871,0.871,0.871,0.871,
0.962,0.962,0.962,0.962,
0.987,0.987,0.987,0.987,
0.989,0.989,0.989,0.989,
0.996,0.996,0.996,0.996,
0.99,0.99,0.99,0.99,
0.976,0.976,0.976,0.976,
0.967,0.967,0.967,0.967,
0.954,0.954,0.954,0.954,
0.972,0.972,0.972,0.972,
0.908,0.908,0.908,0.908,
0.946,0.946,0.946,0.946,
0.966,0.966,0.966,0.966,
0.929,0.929,0.929,0.929,
1,1,1,1,
0.96,0.96,0.96,0.96,
0.986,0.986,0.986,0.986,
0.962,0.962,0.962,0.962,
0.938,0.938,0.938,0.938,
0.979,0.979,0.979,0.979,
0.908,0.908,0.908,0.908,
0.953,0.953,0.953,0.953,
0.954,0.954,0.954,0.954,
0.962,0.962,0.962,0.962,
0.928,0.928,0.928,0.928,
0.974,0.974,0.974,0.974,
0.972,0.972,0.972,0.972,
0.96,0.96,0.96,0.96,
0.959,0.959,0.959,0.959,
1,1,1,1,
1,1,1,1,
0.982,0.982,0.982,0.982,
1,1,1,1,
0.97,0.97,0.97,0.97,
1,1,1,1,
0.965,0.965,0.965,0.965,
1,1,1,1,
0.988,0.988,0.988,0.988,
0.93,0.93,0.93,0.93,
0.956,0.956,0.956,0.956,
0.951,0.951,0.951,0.951,
0.981,0.981,0.981,0.981,
0.977,0.977,0.977,0.977,
0.968,0.968,0.968,0.968,
0.978,0.978,0.978,0.978,
0.929,0.929,0.929,0.929,
0.976,0.976,0.976,0.976,
0.961,0.961,0.961,0.961,
0.935,0.935,0.935,0.935,
0.934,0.934,0.934,0.934,
0.933,0.933,0.933,0.933,
0.971,0.971,0.971,0.971,
0.927,0.927,0.927,0.927,
0.943,0.943,0.943,0.943,
0.962,0.962,0.962,0.962,
0.988,0.988,0.988,0.988,
0.991,0.991,0.991,0.991,
0.987,0.987,0.987,0.987,
0.976,0.976,0.976,0.976,
0.938,0.938,0.938,0.938,
0.941,0.941,0.941,0.941,
0.992,0.992,0.992,0.992,
1,1,1,1,
0.849,0.849,0.849,0.849,
0.975,0.975,0.975,0.975,
1,1,1,1,
0.902,0.902,0.902,0.902,
0.861,0.861,0.861,0.861,
0.873,0.873,0.873,0.873,
0.973,0.973,0.973,0.973,
0.983,0.983,0.983,0.983,
0.936,0.936,0.936,0.936,
0.953,0.953,0.953,0.953,
1,1,1,1,
1,1,1,1,
0.982,0.982,0.982,0.982,
0.999,0.999,0.999,0.999,
0.925,0.925,0.925,0.925,
0.915,0.915,0.915,0.915,
0.991,0.991,0.991,0.991,


0.963,0.963,0.963,0.963,
0.95,0.95,0.95,0.95,
0.986,0.986,0.986,0.986,
0.978,0.978,0.978,0.978,
0.98,0.98,0.98,0.98,
0.987,0.987,0.987,0.987,
1,1,1,1,
1,1,1,1,
0.983,0.983,0.983,0.983,
0.972,0.972,0.972,0.972,
1,1,1,1,
0.991,0.991,0.991,0.991,
0.97,0.97,0.97,0.97,
0.964,0.964,0.964,0.964,
0.985,0.985,0.985,0.985,
0.994,0.994,0.994,0.994,
1,1,1,1,
0.997,0.997,0.997,0.997,
0.95,0.95,0.95,0.95,
0.936,0.936,0.936,0.936,
0.955,0.955,0.955,0.955,
0.975,0.975,0.975,0.975,
1,1,1,1,
1,1,1,1,
1,1,1,1,
0.98,0.98,0.98,0.98,
1,1,1,1,
0.98,0.98,0.98,0.98,
1,1,1,1,
0.972,0.972,0.972,0.972,
