

Data analysis for each instance 
AVG,MED,MAX,MIN
0.25,0.25,0.25,0.25,
0.2,0.2,0.2,0.2,
0.215,0.215,0.215,0.215,
0.405,0.405,0.405,0.405,
0.129,0.129,0.129,0.129,
0.219,0.219,0.219,0.219,
0.119,0.119,0.119,0.119,
0.259,0.259,0.259,0.259,
0.219,0.219,0.219,0.219,
0.394,0.394,0.394,0.394,
0.329,0.329,0.329,0.329,
0.285,0.285,0.285,0.285,
0.356,0.356,0.356,0.356,
0.424,0.424,0.424,0.424,
0.31,0.31,0.31,0.31,
0.265,0.265,0.265,0.265,
0.402,0.402,0.402,0.402,
0.344,0.344,0.344,0.344,
0.3,0.3,0.3,0.3,
0.418,0.418,0.418,0.418,
0.2,0.2,0.2,0.2,
0.482,0.482,0.482,0.482,
0.25,0.25,0.25,0.25,
0.332,0.332,0.332,0.332,
0.117,0.117,0.117,0.117,
0.241,0.241,0.241,0.241,
0.293,0.293,0.293,0.293,
0.4,0.4,0.4,0.4,
0.251,0.251,0.251,0.251,
0.404,0.404,0.404,0.404,
0.355,0.355,0.355,0.355,
0.21,0.21,0.21,0.21,
0.312,0.312,0.312,0.312,
0.256,0.256,0.256,0.256,
0.426,0.426,0.426,0.426,
0.262,0.262,0.262,0.262,
0.301,0.301,0.301,0.301,
0.253,0.253,0.253,0.253,
0.335,0.335,0.335,0.335,
0.284,0.284,0.284,0.284,
0.182,0.182,0.182,0.182,
0.235,0.235,0.235,0.235,
0.27,0.27,0.27,0.27,
0.268,0.268,0.268,0.268,
0.401,0.401,0.401,0.401,
0.365,0.365,0.365,0.365,
0.289,0.289,0.289,0.289,
0.243,0.243,0.243,0.243,
0.296,0.296,0.296,0.296,
0.408,0.408,0.408,0.408,
0.448,0.448,0.448,0.448,
0.235,0.235,0.235,0.235,
0.237,0.237,0.237,0.237,
0.363,0.363,0.363,0.363,
0.261,0.261,0.261,0.261,
0.289,0.289,0.289,0.289,
0.443,0.443,0.443,0.443,
0.171,0.171,0.171,0.171,
0.298,0.298,0.298,0.298,
0.286,0.286,0.286,0.286,
0.262,0.262,0.262,0.262,
0.368,0.368,0.368,0.368,
0.248,0.248,0.248,0.248,
0.294,0.294,0.294,0.294,
0.262,0.262,0.262,0.262,
0.121,0.121,0.121,0.121,
0.441,0.441,0.441,0.441,
0.23,0.23,0.23,0.23,
0.547,0.547,0.547,0.547,
0.263,0.263,0.263,0.263,
0.423,0.423,0.423,0.423,
0.339,0.339,0.339,0.339,
0.302,0.302,0.302,0.302,
0.281,0.281,0.281,0.281,
0.203,0.203,0.203,0.203,
0.185,0.185,0.185,0.185,
0.201,0.201,0.201,0.201,
0.399,0.399,0.399,0.399,
0.181,0.181,0.181,0.181,
0.204,0.204,0.204,0.204,
0.286,0.286,0.286,0.286,
0.423,0.423,0.423,0.423,
0.436,0.436,0.436,0.436,
0.284,0.284,0.284,0.284,
0.353,0.353,0.353,0.353,
0.341,0.341,0.341,0.341,
0.402,0.402,0.402,0.402,
0.158,0.158,0.158,0.158,
0.123,0.123,0.123,0.123,
0.336,0.336,0.336,0.336,
0.408,0.408,0.408,0.408,
0.317,0.317,0.317,0.317,
0.3,0.3,0.3,0.3,
0.291,0.291,0.291,0.291,
0.471,0.471,0.471,0.471,
0.38,0.38,0.38,0.38,
0.304,0.304,0.304,0.304,
0.257,0.257,0.257,0.257,
0.331,0.331,0.331,0.331,
0.236,0.236,0.236,0.236,


-0.234,-0.234,-0.234,-0.234,
-0.2,-0.2,-0.2,-0.2,
-0.233,-0.233,-0.233,-0.233,
-0.354,-0.354,-0.354,-0.354,
-0.188,-0.188,-0.188,-0.188,
-0.238,-0.238,-0.238,-0.238,
-0.201,-0.201,-0.201,-0.201,
-0.237,-0.237,-0.237,-0.237,
-0.185,-0.185,-0.185,-0.185,
-0.32,-0.32,-0.32,-0.32,
-0.239,-0.239,-0.239,-0.239,
-0.217,-0.217,-0.217,-0.217,
-0.325,-0.325,-0.325,-0.325,
