

Data analysis for each instance 
AVG,MED,MAX,MIN
0.072,0.072,0.072,0.072,
0.033,0.033,0.033,0.033,
0.064,0.064,0.064,0.064,
-0.027,-0.027,-0.027,-0.027,
0.012,0.012,0.012,0.012,
0.006,0.006,0.006,0.006,
-0.011,-0.011,-0.011,-0.011,
0.009,0.009,0.009,0.009,
-0.013,-0.013,-0.013,-0.013,
0.03,0.03,0.03,0.03,
-0.008,-0.008,-0.008,-0.008,
-0.001,-0.001,-0.001,-0.001,
0.045,0.045,0.045,0.045,
-0.045,-0.045,-0.045,-0.045,
-0.006,-0.006,-0.006,-0.006,
-0.019,-0.019,-0.019,-0.019,
0.121,0.121,0.121,0.121,
0.047,0.047,0.047,0.047,
0.011,0.011,0.011,0.011,
0.085,0.085,0.085,0.085,
0.026,0.026,0.026,0.026,
0.023,0.023,0.023,0.023,
0.006,0.006,0.006,0.006,
0.011,0.011,0.011,0.011,
-0.016,-0.016,-0.016,-0.016,
0.021,0.021,0.021,0.021,
0.006,0.006,0.006,0.006,
0.016,0.016,0.016,0.016,
0.015,0.015,0.015,0.015,
-0.008,-0.008,-0.008,-0.008,
0.004,0.004,0.004,0.004,
0.005,0.005,0.005,0.005,
0.007,0.007,0.007,0.007,
-0.018,-0.018,-0.018,-0.018,
0.038,0.038,0.038,0.038,
0.023,0.023,0.023,0.023,
0.012,0.012,0.012,0.012,
0.026,0.026,0.026,0.026,
0.054,0.054,0.054,0.054,
0.027,0.027,0.027,0.027,
0.018,0.018,0.018,0.018,
0.003,0.003,0.003,0.003,
0.007,0.007,0.007,0.007,
0.047,0.047,0.047,0.047,
0.018,0.018,0.018,0.018,
-0.001,-0.001,-0.001,-0.001,
0.043,0.043,0.043,0.043,
-0.019,-0.019,-0.019,-0.019,
0.011,0.011,0.011,0.011,
0.056,0.056,0.056,0.056,
-0.013,-0.013,-0.013,-0.013,
0.032,0.032,0.032,0.032,
-0.003,-0.003,-0.003,-0.003,
-0.002,-0.002,-0.002,-0.002,
-0.003,-0.003,-0.003,-0.003,
0.017,0.017,0.017,0.017,
0.004,0.004,0.004,0.004,
0.025,0.025,0.025,0.025,
0.02,0.02,0.02,0.02,
0.011,0.011,0.011,0.011,
0.021,0.021,0.021,0.021,
0.014,0.014,0.014,0.014,
0.003,0.003,0.003,0.003,
-0.005,-0.005,-0.005,-0.005,
-0.005,-0.005,-0.005,-0.005,
-0.015,-0.015,-0.015,-0.015,
0.022,0.022,0.022,0.022,
0.001,0.001,0.001,0.001,
0.03,0.03,0.03,0.03,
0.027,0.027,0.027,0.027,
-0.009,-0.009,-0.009,-0.009,
0.022,0.022,0.022,0.022,
-0.024,-0.024,-0.024,-0.024,
0.02,0.02,0.02,0.02,
0.028,0.028,0.028,0.028,
0.025,0.025,0.025,0.025,
0.019,0.019,0.019,0.019,
-0.006,-0.006,-0.006,-0.006,
0.013,0.013,0.013,0.013,
-0.016,-0.016,-0.016,-0.016,
0.035,0.035,0.035,0.035,
-0.003,-0.003,-0.003,-0.003,
-0.034,-0.034,-0.034,-0.034,
-0.012,-0.012,-0.012,-0.012,
0.006,0.006,0.006,0.006,
0.023,0.023,0.023,0.023,
0.058,0.058,0.058,0.058,
0.016,0.016,0.016,0.016,
0.02,0.02,0.02,0.02,
0.042,0.042,0.042,0.042,
0.025,0.025,0.025,0.025,
0.037,0.037,0.037,0.037,
0.007,0.007,0.007,0.007,
0.055,0.055,0.055,0.055,
0.062,0.062,0.062,0.062,
0.015,0.015,0.015,0.015,
0.017,0.017,0.017,0.017,
0.011,0.011,0.011,0.011,
-0.001,-0.001,-0.001,-0.001,
0.036,0.036,0.036,0.036,


-0.031,-0.031,-0.031,-0.031,
-0.023,-0.023,-0.023,-0.023,
-0.034,-0.034,-0.034,-0.034,
0.046,0.046,0.046,0.046,
0.03,0.03,0.03,0.03,
0.02,0.02,0.02,0.02,
0.01,0.01,0.01,0.01,
-0.012,-0.012,-0.012,-0.012,
0.058,0.058,0.058,0.058,
0.002,0.002,0.002,0.002,
0.016,0.016,0.016,0.016,
-0.034,-0.034,-0.034,-0.034,
0.008,0.008,0.008,0.008,
0.056,0.056,0.056,0.056,
-0.003,-0.003,-0.003,-0.003,
0.01,0.01,0.01,0.01,
0.017,0.017,0.017,0.017,
0.014,0.014,0.014,0.014,
-0.03,-0.03,-0.03,-0.03,
-0.039,-0.039,-0.039,-0.039,
0.009,0.009,0.009,0.009,
-0.019,-0.019,-0.019,-0.019,
-0.016,-0.016,-0.016,-0.016,
-0.024,-0.024,-0.024,-0.024,
-0.004,-0.004,-0.004,-0.004,
-0.005,-0.005,-0.005,-0.005,
-0.023,-0.023,-0.023,-0.023,
0.015,0.015,0.015,0.015,
0.003,0.003,0.003,0.003,
0.002,0.002,0.002,0.002,
-0.054,-0.054,-0.054,-0.054,
-0.004,-0.004,-0.004,-0.004,
-0.021,-0.021,-0.021,-0.021,
0.018,0.018,0.018,0.018,
-0.008,-0.008,-0.008,-0.008,
0.036,0.036,0.036,0.036,
-0.007,-0.007,-0.007,-0.007,
-0.02,-0.02,-0.02,-0.02,
